application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11863390,1,2007-09-28,IEXX,0,,0,
12033155,44,2009-05-19,TCPB,0,,0,
12033155,45,2009-06-03,WIDS,0,,0,
12033155,46,2009-06-03,IDSC,0,,0,
12033155,47,2009-06-08,M327-B,0,,0,
12033155,48,2009-06-10,MM327-B,0,,0,
12033155,49,2009-06-10,EML_NTR,0,,0,
12033155,51,2009-07-24,IFEE,0,,0,
12033155,52,2009-07-24,N084,0,,0,
12033155,53,2009-07-28,PILS,0,,0,
12033155,54,2009-07-29,D1935,0,,0,
12033155,56,2009-09-01,PTAC,0,,0,
11675549,52,2009-06-09,PUBTC,0,,0,
11431729,1,2006-05-10,IEXX,0,,0,
11431729,9,2006-05-10,WIDS,0,,0,
11431729,13,2006-05-10,IDSC,0,,0,
11431729,2,2006-05-18,SCAN,0,,0,
11431729,3,2006-05-24,L194,0,,0,
11431729,4,2006-07-12,INCD,0,,0,
11431729,5,2006-07-21,OATHDECL,0,,0,
11431729,6,2006-07-21,ADDFLFEE,0,,0,
11431729,7,2006-08-10,COMP,0,,0,
11431729,8,2006-08-10,OIPE,0,,0,
11431729,10,2007-10-15,F525,0,,0,
11431729,11,2007-10-17,W525,0,,0,
11431729,12,2007-12-05,DOCK,0,,0,
11431729,18,2008-12-19,CTNF,0,,0,
11431729,19,2008-12-22,MCTNF,531,PTO,-1,
11431729,20,2009-03-06,A...,0,,0,
11431729,21,2009-03-23,FWDX,0,,0,
11431729,23,2009-06-01,EX.A,0,,0,
11431729,24,2009-06-01,M327,0,,0,
11431729,25,2009-06-02,MM327,0,,0,
11431729,28,2009-08-04,EXIN,0,,0,
11431729,26,2009-08-06,M327,0,,0,
11431729,27,2009-08-06,EX.A,0,,0,
11431729,29,2009-08-07,MM327,0,,0,
11431729,30,2009-08-07,MEX.A,0,,0,
11431729,31,2009-08-12,N/=.,0,,0,
11431729,32,2009-08-12,MEX.A,0,,0,
11431729,33,2009-08-12,MN/=.,37,PTO,20,
11675549,51,2009-06-18,CNOA,0,,0,
11675549,53,2009-06-19,MCNOA,0,,0,
11675549,54,2009-06-19,TCPB,0,,0,
11675549,58,2009-07-23,IFEE,0,,0,
11675549,59,2009-07-23,N084,0,,0,
11675549,60,2009-07-28,PILS,0,,0,
11675549,61,2009-07-28,D1935,0,,0,
11675549,63,2009-09-01,PTAC,0,,0,
10743339,43,2008-09-30,APWD,0,,0,
10743339,44,2008-11-26,APAS,0,,0,
10743339,45,2008-11-26,AP_DK_M,0,,0,
10743339,46,2009-05-26,APDP,0,,0,
10743339,47,2009-05-26,MAPDP,590,PTO,29,
10743339,49,2009-08-19,DOCK,0,,0,
10743339,50,2009-08-19,N/=.,0,,0,
10743339,51,2009-08-19,EX.A,0,,0,
10743339,52,2009-08-19,DVER,0,,0,
10743339,54,2009-08-20,MN/=.,0,,0,
11863390,57,2009-07-14,FWDX,0,,0,
11863390,63,2009-08-13,N/=.,0,,0,
11863390,64,2009-08-13,DVER,0,,0,
11863390,66,2009-08-17,MN/=.,0,,0,
10549383,1,2005-09-15,IEXX,0,,0,
10549383,5,2005-09-15,371COMP,0,,0,
10549383,8,2005-09-15,A.PE,0,,0,
10549383,9,2005-09-15,RQPR,0,,0,
10569170,3,2006-09-25,OATHDECL,0,,0,
10569170,4,2006-09-25,ADDFLFEE,0,,0,
10569170,12,2007-03-05,LET.,0,,0,
10569170,13,2007-09-20,LET.,0,,0,
10569170,5,2007-11-08,FLRCPT.O,0,,0,
10569170,6,2007-11-08,M903,0,,0,
10569170,7,2007-11-08,PGPC,0,,0,
10569170,8,2007-12-03,OIPE,0,,0,
10569170,14,2007-12-11,TSSCOMP,0,,0,
10569170,16,2007-12-13,DOCK,0,,0,
10569170,17,2008-02-14,PG-ISSUE,0,,0,
10549383,3,2006-01-24,M903,0,,0,
10549383,4,2006-01-24,OIPE,0,,0,
10549383,12,2006-02-02,WIDS,0,,0,
10549383,12.7,2006-02-02,M844,0,,0,
10549383,13,2006-02-02,RCAP,0,,0,
10549383,17,2006-02-02,IDSC,0,,0,
10549383,6,2006-02-03,L194,0,,0,
10549383,7,2006-02-03,L194,0,,0,
10549383,10,2006-02-08,DOCK,0,,0,
10549383,11,2006-02-08,TSSCOMP,0,,0,
10549383,14,2007-11-27,DOCK,0,,0,
10549383,15,2008-01-08,DOCK,0,,0,
10549383,16,2008-01-10,DOCK,0,,0,
10549383,20,2008-01-22,CTNF,0,,0,
10549383,21,2008-01-25,MCTNF,436,PTO,5,
10549383,22,2008-04-25,A...,0,,0,
10549383,23,2008-05-22,FWDX,0,,0,
10549383,24,2008-08-04,CTNF,0,,0,
10549383,25,2008-08-05,MCTNF,0,,0,
10549383,26,2008-11-04,A...,0,,0,
10549383,27,2008-11-17,FWDX,0,,0,
10549383,28,2009-01-29,CTNF,0,,0,
10549383,29,2009-02-02,MCTNF,0,,0,
10549383,30,2009-05-13,XT/G,0,,0,
10549383,31,2009-05-13,A...,11,APPL,29,
10549383,32,2009-06-09,FWDX,0,,0,
10549383,34,2009-08-19,DOCK,0,,0,
10549383,35,2009-08-19,N/=.,0,,0,
10549383,36,2009-08-19,DVER,0,,0,
10549383,38,2009-08-20,MN/=.,0,,0,
10569170,19,2008-12-08,CTNF,0,,0,
10569170,20,2008-12-09,MCTNF,380,PTO,-1,
10569170,21,2009-03-09,A...,0,,0,
10569170,22,2009-04-06,FWDX,0,,0,
10569170,23,2009-05-09,CTFR,0,,0,
10569170,24,2009-05-11,MCTFR,0,,0,
10569170,25,2009-07-16,A.NE,0,,0,
10569170,26,2009-07-22,FWDX,0,,0,
10569170,31,2009-08-18,DOCK,0,,0,
10569170,32,2009-08-18,N/=.,0,,0,
10569170,33,2009-08-18,DVER,0,,0,
10569170,35,2009-08-21,MN/=.,0,,0,
12011995,13,2008-01-30,A.PE,0,,0,
12011995,1,2008-01-31,IEXX,0,,0,
12011995,2,2008-02-07,SCAN,0,,0,
12011995,3,2008-02-12,L198,0,,0,
12011995,4,2008-02-29,L128,0,,0,
