application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11642869,66,2010-06-11,P034,0,,0,
11642869,61.5,2010-02-23,PTA36M,64,PTO,0,
10055333,1,2002-01-23,IEXX,0,,0,
10055333,2,2002-02-05,SCAN,0,,0,
10055333,3,2002-02-19,INCD,0,,0,
10055333,4,2002-03-18,CORRDRW,0,,0,
10055333,5,2002-03-18,OATHDECL,0,,0,
10055333,6,2002-03-18,ADDFLFEE,0,,0,
10055333,7,2002-05-24,OATHDECL,0,,0,
10055333,8,2002-05-24,ADDFLFEE,5,APPL,3,
10055333,10,2002-06-25,COMP,0,,0,
10055333,11,2002-06-26,OIPE,0,,0,
10055333,12,2002-07-11,DOCK,0,,0,
10055333,13,2005-04-13,TSSCOMP,0,,0,
10055333,14,2005-10-06,DOCK,0,,0,
10055333,15,2005-10-06,DOCK,0,,0,
10055333,16,2005-10-17,CTNF,0,,0,
10055333,17,2005-10-18,MCTNF,672,PTO,-1,
10055333,19,2006-03-20,XT/G,0,,0,
10055333,20,2006-03-20,A...,61,APPL,17,
10055333,22,2006-03-20,C614,0,,0,
10055333,18,2006-03-21,DOCK,0,,0,
10055333,21,2006-03-27,FWDX,0,,0,
10055333,23,2006-06-07,CTNF,0,,0,
10055333,24,2006-06-09,MCTNF,0,,0,
10055333,25,2006-11-09,XT/G,0,,0,
10055333,26,2006-11-09,A...,61,APPL,24,
10055333,27,2006-12-06,FWDX,0,,0,
10055333,28,2007-02-20,CTFR,0,,0,
10055333,29,2007-02-23,MCTFR,0,,0,
10055333,30,2007-05-23,A.NE,0,,0,
10055333,31,2007-05-30,FWDX,0,,0,
10055333,35,2007-06-11,CTAV,0,,0,
10055333,36,2007-06-12,MCTAV,0,,0,
10055333,37,2007-07-23,BRCE,0,,0,
10055333,38,2007-07-23,XT/G,0,,0,
10055333,40,2007-07-23,RCEX,61,APPL,29,
10055333,39,2007-08-01,ABN9,0,,0,
10055333,41,2007-08-01,FWDX,0,,0,
10055333,42,2007-08-01,C.AD,0,,0,
10055333,44,2007-08-01,FWDX,0,,0,
10055333,46,2007-08-01,FWDX,0,,0,
10055333,47,2007-08-01,CPA-AMD,0,,0,
10055333,48,2007-08-03,MCPA-AMD,0,,0,
10055333,49,2007-08-17,A...,0,,0,
10055333,50,2007-08-28,FWDX,0,,0,
10055333,51,2007-09-17,CTNF,0,,0,
10055333,52,2007-09-21,MCTNF,0,,0,
10055333,53,2007-12-06,C.AD,0,,0,
10055333,54,2007-12-10,PA..,0,,0,
10055333,55,2007-12-20,A...,0,,0,
10055333,56,2008-01-09,FWDX,0,,0,
10055333,57,2008-03-24,CTFR,0,,0,
10055333,58,2008-03-26,MCTFR,0,,0,
10055333,59,2008-05-09,A.NE,0,,0,
10055333,60,2008-05-16,FWDX,0,,0,
10055333,61,2008-06-09,CTAV,0,,0,
10055333,62,2008-06-11,MCTAV,0,,0,
